year month day streamflow_m3s qual_control_by_ana qual_flag
1977 05 22 nan nan 0
1977 05 23 nan nan 0
1977 05 24 nan nan 0
1977 05 25 nan nan 0
1977 05 26 nan nan 0
1977 05 27 nan nan 0
1977 05 28 nan nan 0
1977 05 29 nan nan 0
1977 05 30 nan nan 0
1977 05 31 nan nan 0
1977 06 01 nan nan 0
1977 06 02 nan nan 0
1977 06 03 nan nan 0
1977 06 04 nan nan 0
1977 06 05 nan nan 0
1977 06 06 nan nan 0
1977 06 07 nan nan 0
1977 06 08 nan nan 0
1977 06 09 nan nan 0
1977 06 10 nan nan 0
1977 06 11 nan nan 0
1977 06 12 nan nan 0
1977 06 13 nan nan 0
1977 06 14 nan nan 0
1977 06 15 nan nan 0
1977 06 16 nan nan 0
1977 06 17 nan nan 0
1977 06 18 nan nan 0
1977 06 19 nan nan 0
1977 06 20 nan nan 0
1977 06 21 nan nan 0
1977 06 22 nan nan 0
1977 06 23 nan nan 0
1977 06 24 nan nan 0
1977 06 25 nan nan 0
1977 06 26 nan nan 0
1977 06 27 nan nan 0
1977 06 28 nan nan 0
1977 06 29 nan nan 0
1977 06 30 nan nan 0
1977 07 01 nan nan 0
1977 07 02 nan nan 0
1977 07 03 nan nan 0
1977 07 04 nan nan 0
1977 07 05 nan nan 0
1977 07 06 nan nan 0
1977 07 07 nan nan 0
1977 07 08 nan nan 0
1977 07 09 nan nan 0
1977 07 10 nan nan 0
1977 07 11 nan nan 0
1977 07 12 nan nan 0
1977 07 13 nan nan 0
1977 07 14 nan nan 0
1977 07 15 nan nan 0
1977 07 16 nan nan 0
1977 07 17 nan nan 0
1977 07 18 nan nan 0
1977 07 19 nan nan 0
1977 07 20 nan nan 0
1977 07 21 nan nan 0
1977 07 22 nan nan 0
1977 07 23 nan nan 0
1977 07 24 nan nan 0
1977 07 25 nan nan 0
1977 07 26 nan nan 0
1977 07 27 nan nan 0
1977 07 28 nan nan 0
1977 07 29 nan nan 0
1977 07 30 nan nan 0
1977 07 31 nan nan 0
1977 08 01 nan nan 0
1977 08 02 nan nan 0
1977 08 03 nan nan 0
1977 08 04 nan nan 0
1977 08 05 nan nan 0
1977 08 06 nan nan 0
1977 08 07 nan nan 0
1977 08 08 nan nan 0
1977 08 09 nan nan 0
1977 08 10 nan nan 0
1977 08 11 nan nan 0
1977 08 12 nan nan 0
1977 08 13 nan nan 0
1977 08 14 nan nan 0
1977 08 15 nan nan 0
1977 08 16 nan nan 0
1977 08 17 nan nan 0
1977 08 18 nan nan 0
1977 08 19 nan nan 0
1977 08 20 nan nan 0
1977 08 21 nan nan 0
1977 08 22 nan nan 0
1977 08 23 nan nan 0
1977 08 24 nan nan 0
1977 08 25 nan nan 0
1977 08 26 nan nan 0
1977 08 27 nan nan 0
1977 08 28 nan nan 0
1977 08 29 nan nan 0
1977 08 30 nan nan 0
1977 08 31 nan nan 0
1977 09 01 nan nan 0
1977 09 02 nan nan 0
1977 09 03 nan nan 0
1977 09 04 nan nan 0
1977 09 05 nan nan 0
1977 09 06 nan nan 0
1977 09 07 nan nan 0
1977 09 08 nan nan 0
1977 09 09 nan nan 0
1977 09 10 nan nan 0
1977 09 11 nan nan 0
1977 09 12 nan nan 0
1977 09 13 nan nan 0
1977 09 14 nan nan 0
1977 09 15 nan nan 0
1977 09 16 nan nan 0
1977 09 17 nan nan 0
1977 09 18 nan nan 0
1977 09 19 nan nan 0
1977 09 20 nan nan 0
1977 09 21 nan nan 0
1977 09 22 nan nan 0
1977 09 23 nan nan 0
1977 09 24 nan nan 0
1977 09 25 nan nan 0
1977 09 26 nan nan 0
1977 09 27 nan nan 0
1977 09 28 nan nan 0
1977 09 29 nan nan 0
1977 09 30 nan nan 0
1977 10 01 nan nan 0
1977 10 02 nan nan 0
1977 10 03 nan nan 0
1977 10 04 nan nan 0
1977 10 05 nan nan 0
1977 10 06 nan nan 0
1977 10 07 nan nan 0
1977 10 08 nan nan 0
1977 10 09 nan nan 0
1977 10 10 nan nan 0
1977 10 11 nan nan 0
1977 10 12 nan nan 0
1977 10 13 nan nan 0
1977 10 14 nan nan 0
1977 10 15 nan nan 0
1977 10 16 nan nan 0
1977 10 17 nan nan 0
1977 10 18 nan nan 0
1977 10 19 nan nan 0
1977 10 20 nan nan 0
1977 10 21 nan nan 0
1977 10 22 nan nan 0
1977 10 23 nan nan 0
1977 10 24 nan nan 0
1977 10 25 nan nan 0
1977 10 26 nan nan 0
1977 10 27 nan nan 0
1977 10 28 nan nan 0
1977 10 29 nan nan 0
1977 10 30 nan nan 0
1977 10 31 nan nan 0
1977 11 01 nan nan 0
1977 11 02 nan nan 0
1977 11 03 nan nan 0
1977 11 04 nan nan 0
1977 11 05 nan nan 0
1977 11 06 nan nan 0
1977 11 07 nan nan 0
1977 11 08 nan nan 0
1977 11 09 nan nan 0
1977 11 10 nan nan 0
1977 11 11 nan nan 0
1977 11 12 nan nan 0
1977 11 13 nan nan 0
1977 11 14 nan nan 0
1977 11 15 nan nan 0
1977 11 16 nan nan 0
1977 11 17 nan nan 0
1977 11 18 nan nan 0
1977 11 19 nan nan 0
1977 11 20 nan nan 0
1977 11 21 nan nan 0
1977 11 22 nan nan 0
1977 11 23 nan nan 0
1977 11 24 nan nan 0
1977 11 25 nan nan 0
1977 11 26 nan nan 0
1977 11 27 nan nan 0
1977 11 28 nan nan 0
1977 11 29 nan nan 0
1977 11 30 nan nan 0
1977 12 01 nan nan 0
1977 12 02 nan nan 0
1977 12 03 nan nan 0
1977 12 04 nan nan 0
1977 12 05 nan nan 0
1977 12 06 nan nan 0
1977 12 07 nan nan 0
1977 12 08 nan nan 0
1977 12 09 nan nan 0
1977 12 10 nan nan 0
1977 12 11 nan nan 0
1977 12 12 nan nan 0
1977 12 13 nan nan 0
1977 12 14 nan nan 0
1977 12 15 nan nan 0
1977 12 16 nan nan 0
1977 12 17 nan nan 0
1977 12 18 nan nan 0
1977 12 19 nan nan 0
1977 12 20 nan nan 0
1977 12 21 nan nan 0
1977 12 22 nan nan 0
1977 12 23 nan nan 0
1977 12 24 nan nan 0
1977 12 25 nan nan 0
1977 12 26 nan nan 0
1977 12 27 nan nan 0
1977 12 28 nan nan 0
1977 12 29 nan nan 0
1977 12 30 nan nan 0
1977 12 31 nan nan 0
1978 01 01 nan nan 0
1978 01 02 nan nan 0
1978 01 03 nan nan 0
1978 01 04 nan nan 0
1978 01 05 nan nan 0
1978 01 06 nan nan 0
1978 01 07 nan nan 0
1978 01 08 nan nan 0
1978 01 09 nan nan 0
1978 01 10 nan nan 0
1978 01 11 nan nan 0
1978 01 12 nan nan 0
1978 01 13 nan nan 0
1978 01 14 nan nan 0
1978 01 15 nan nan 0
1978 01 16 nan nan 0
1978 01 17 nan nan 0
1978 01 18 nan nan 0
1978 01 19 nan nan 0
1978 01 20 nan nan 0
1978 01 21 nan nan 0
1978 01 22 nan nan 0
1978 01 23 nan nan 0
1978 01 24 nan nan 0
1978 01 25 nan nan 0
1978 01 26 nan nan 0
1978 01 27 nan nan 0
1978 01 28 nan nan 0
1978 01 29 nan nan 0
1978 01 30 nan nan 0
1978 01 31 nan nan 0
1978 02 01 nan nan 0
1978 02 02 nan nan 0
1978 02 03 nan nan 0
1978 02 04 nan nan 0
1978 02 05 nan nan 0
1978 02 06 nan nan 0
1978 02 07 nan nan 0
1978 02 08 nan nan 0
1978 02 09 nan nan 0
1978 02 10 nan nan 0
1978 02 11 nan nan 0
1978 02 12 nan nan 0
1978 02 13 nan nan 0
1978 02 14 nan nan 0
1978 02 15 nan nan 0
1978 02 16 nan nan 0
1978 02 17 nan nan 0
1978 02 18 nan nan 0
1978 02 19 nan nan 0
1978 02 20 nan nan 0
1978 02 21 nan nan 0
1978 02 22 nan nan 0
1978 02 23 nan nan 0
1978 02 24 nan nan 0
1978 02 25 nan nan 0
1978 02 26 nan nan 0
1978 02 27 nan nan 0
1978 02 28 nan nan 0
1978 03 01 nan nan 0
1978 03 02 nan nan 0
1978 03 03 nan nan 0
1978 03 04 nan nan 0
1978 03 05 nan nan 0
1978 03 06 nan nan 0
1978 03 07 nan nan 0
1978 03 08 nan nan 0
1978 03 09 nan nan 0
1978 03 10 nan nan 0
1978 03 11 nan nan 0
1978 03 12 nan nan 0
1978 03 13 nan nan 0
1978 03 14 nan nan 0
1978 03 15 nan nan 0
1978 03 16 nan nan 0
1978 03 17 nan nan 0
1978 03 18 nan nan 0
1978 03 19 nan nan 0
1978 03 20 nan nan 0
1978 03 21 nan nan 0
1978 03 22 nan nan 0
1978 03 23 nan nan 0
1978 03 24 nan nan 0
1978 03 25 nan nan 0
1978 03 26 nan nan 0
1978 03 27 nan nan 0
1978 03 28 nan nan 0
1978 03 29 nan nan 0
1978 03 30 nan nan 0
1978 03 31 nan nan 0
1978 04 01 nan nan 0
1978 04 02 nan nan 0
1978 04 03 nan nan 0
1978 04 04 nan nan 0
1978 04 05 nan nan 0
1978 04 06 nan nan 0
1978 04 07 nan nan 0
1978 04 08 nan nan 0
1978 04 09 nan nan 0
1978 04 10 nan nan 0
1978 04 11 nan nan 0
1978 04 12 nan nan 0
1978 04 13 nan nan 0
1978 04 14 nan nan 0
1978 04 15 nan nan 0
1978 04 16 nan nan 0
1978 04 17 nan nan 0
1978 04 18 nan nan 0
1978 04 19 nan nan 0
1978 04 20 nan nan 0
1978 04 21 nan nan 0
1978 04 22 nan nan 0
1978 04 23 nan nan 0
1978 04 24 nan nan 0
1978 04 25 nan nan 0
1978 04 26 nan nan 0
1978 04 27 nan nan 0
1978 04 28 nan nan 0
1978 04 29 nan nan 0
1978 04 30 nan nan 0
1978 05 01 nan nan 0
1978 05 02 nan nan 0
1978 05 03 nan nan 0
1978 05 04 nan nan 0
1978 05 05 nan nan 0
1978 05 06 nan nan 0
1978 05 07 nan nan 0
1978 05 08 nan nan 0
1978 05 09 nan nan 0
1978 05 10 nan nan 0
1978 05 11 nan nan 0
1978 05 12 nan nan 0
1978 05 13 nan nan 0
1978 05 14 nan nan 0
1978 05 15 nan nan 0
1978 05 16 nan nan 0
1978 05 17 nan nan 0
1978 05 18 nan nan 0
1978 05 19 nan nan 0
1978 05 20 nan nan 0
1978 05 21 nan nan 0
1978 05 22 nan nan 0
1978 05 23 nan nan 0
1978 05 24 nan nan 0
1978 05 25 nan nan 0
1978 05 26 nan nan 0
1978 05 27 nan nan 0
1978 05 28 nan nan 0
1978 05 29 nan nan 0
1978 05 30 nan nan 0
1978 05 31 nan nan 0
1978 06 01 nan nan 0
1978 06 02 nan nan 0
1978 06 03 nan nan 0
1978 06 04 nan nan 0
1978 06 05 nan nan 0
1978 06 06 nan nan 0
1978 06 07 nan nan 0
1978 06 08 nan nan 0
1978 06 09 nan nan 0
1978 06 10 nan nan 0
1978 06 11 nan nan 0
1978 06 12 nan nan 0
1978 06 13 nan nan 0
1978 06 14 nan nan 0
1978 06 15 nan nan 0
1978 06 16 nan nan 0
1978 06 17 nan nan 0
1978 06 18 nan nan 0
1978 06 19 nan nan 0
1978 06 20 nan nan 0
1978 06 21 nan nan 0
1978 06 22 nan nan 0
1978 06 23 nan nan 0
1978 06 24 nan nan 0
1978 06 25 nan nan 0
1978 06 26 nan nan 0
1978 06 27 nan nan 0
1978 06 28 nan nan 0
1978 06 29 nan nan 0
1978 06 30 nan nan 0
1978 07 01 nan nan 0
1978 07 02 nan nan 0
1978 07 03 nan nan 0
1978 07 04 nan nan 0
1978 07 05 nan nan 0
1978 07 06 nan nan 0
1978 07 07 nan nan 0
1978 07 08 nan nan 0
1978 07 09 nan nan 0
1978 07 10 nan nan 0
1978 07 11 nan nan 0
1978 07 12 nan nan 0
1978 07 13 nan nan 0
1978 07 14 nan nan 0
1978 07 15 nan nan 0
1978 07 16 nan nan 0
1978 07 17 nan nan 0
1978 07 18 nan nan 0
1978 07 19 nan nan 0
1978 07 20 nan nan 0
1978 07 21 nan nan 0
1978 07 22 nan nan 0
1978 07 23 nan nan 0
1978 07 24 nan nan 0
1978 07 25 nan nan 0
1978 07 26 nan nan 0
1978 07 27 nan nan 0
1978 07 28 nan nan 0
1978 07 29 nan nan 0
1978 07 30 nan nan 0
1978 07 31 nan nan 0
1978 08 01 nan nan 0
1978 08 02 nan nan 0
1978 08 03 nan nan 0
1978 08 04 nan nan 0
1978 08 05 nan nan 0
1978 08 06 nan nan 0
1978 08 07 nan nan 0
1978 08 08 nan nan 0
1978 08 09 nan nan 0
1978 08 10 nan nan 0
1978 08 11 nan nan 0
1978 08 12 nan nan 0
1978 08 13 nan nan 0
1978 08 14 nan nan 0
1978 08 15 nan nan 0
1978 08 16 nan nan 0
1978 08 17 nan nan 0
1978 08 18 nan nan 0
1978 08 19 nan nan 0
1978 08 20 nan nan 0
1978 08 21 nan nan 0
1978 08 22 nan nan 0
1978 08 23 nan nan 0
1978 08 24 nan nan 0
1978 08 25 nan nan 0
1978 08 26 nan nan 0
1978 08 27 nan nan 0
1978 08 28 nan nan 0
1978 08 29 nan nan 0
1978 08 30 nan nan 0
1978 08 31 nan nan 0
1978 09 01 nan nan 0
1978 09 02 nan nan 0
1978 09 03 nan nan 0
1978 09 04 nan nan 0
1978 09 05 nan nan 0
1978 09 06 nan nan 0
1978 09 07 nan nan 0
1978 09 08 nan nan 0
1978 09 09 nan nan 0
1978 09 10 nan nan 0
1978 09 11 nan nan 0
1978 09 12 nan nan 0
1978 09 13 nan nan 0
1978 09 14 nan nan 0
1978 09 15 nan nan 0
1978 09 16 nan nan 0
1978 09 17 nan nan 0
1978 09 18 nan nan 0
1978 09 19 nan nan 0
1978 09 20 nan nan 0
1978 09 21 nan nan 0
1978 09 22 nan nan 0
1978 09 23 nan nan 0
1978 09 24 nan nan 0
1978 09 25 nan nan 0
1978 09 26 nan nan 0
1978 09 27 nan nan 0
1978 09 28 nan nan 0
1978 09 29 nan nan 0
1978 09 30 nan nan 0
1978 10 01 nan nan 0
1978 10 02 nan nan 0
1978 10 03 nan nan 0
1978 10 04 nan nan 0
1978 10 05 nan nan 0
1978 10 06 nan nan 0
1978 10 07 nan nan 0
1978 10 08 nan nan 0
1978 10 09 nan nan 0
1978 10 10 nan nan 0
1978 10 11 nan nan 0
1978 10 12 nan nan 0
1978 10 13 nan nan 0
1978 10 14 nan nan 0
1978 10 15 nan nan 0
1978 10 16 nan nan 0
1978 10 17 nan nan 0
1978 10 18 nan nan 0
1978 10 19 nan nan 0
1978 10 20 nan nan 0
1978 10 21 nan nan 0
1978 10 22 nan nan 0
1978 10 23 nan nan 0
1978 10 24 nan nan 0
1978 10 25 nan nan 0
1978 10 26 nan nan 0
1978 10 27 nan nan 0
1978 10 28 nan nan 0
1978 10 29 nan nan 0
1978 10 30 nan nan 0
1978 10 31 nan nan 0
1978 11 01 nan nan 0
1978 11 02 nan nan 0
1978 11 03 nan nan 0
1978 11 04 nan nan 0
1978 11 05 nan nan 0
1978 11 06 nan nan 0
1978 11 07 nan nan 0
1978 11 08 nan nan 0
1978 11 09 nan nan 0
1978 11 10 nan nan 0
1978 11 11 nan nan 0
1978 11 12 nan nan 0
1978 11 13 nan nan 0
1978 11 14 nan nan 0
1978 11 15 nan nan 0
1978 11 16 nan nan 0
1978 11 17 nan nan 0
1978 11 18 nan nan 0
1978 11 19 nan nan 0
1978 11 20 nan nan 0
1978 11 21 nan nan 0
1978 11 22 nan nan 0
1978 11 23 nan nan 0
1978 11 24 nan nan 0
1978 11 25 nan nan 0
1978 11 26 nan nan 0
1978 11 27 nan nan 0
1978 11 28 nan nan 0
1978 11 29 nan nan 0
1978 11 30 nan nan 0
1978 12 01 nan nan 0
1978 12 02 nan nan 0
1978 12 03 nan nan 0
1978 12 04 nan nan 0
1978 12 05 nan nan 0
1978 12 06 nan nan 0
1978 12 07 nan nan 0
1978 12 08 nan nan 0
1978 12 09 nan nan 0
1978 12 10 nan nan 0
1978 12 11 nan nan 0
1978 12 12 nan nan 0
1978 12 13 nan nan 0
1978 12 14 nan nan 0
1978 12 15 nan nan 0
1978 12 16 nan nan 0
1978 12 17 nan nan 0
1978 12 18 nan nan 0
1978 12 19 nan nan 0
1978 12 20 nan nan 0
1978 12 21 nan nan 0
1978 12 22 nan nan 0
1978 12 23 nan nan 0
1978 12 24 nan nan 0
1978 12 25 nan nan 0
1978 12 26 nan nan 0
1978 12 27 nan nan 0
1978 12 28 nan nan 0
1978 12 29 nan nan 0
1978 12 30 nan nan 0
1978 12 31 nan nan 0
1979 01 01 nan nan 0
1979 01 02 nan nan 0
1979 01 03 nan nan 0
1979 01 04 nan nan 0
1979 01 05 nan nan 0
1979 01 06 nan nan 0
1979 01 07 nan nan 0
1979 01 08 nan nan 0
1979 01 09 nan nan 0
1979 01 10 nan nan 0
1979 01 11 nan nan 0
1979 01 12 nan nan 0
1979 01 13 nan nan 0
1979 01 14 nan nan 0
1979 01 15 nan nan 0
1979 01 16 nan nan 0
1979 01 17 nan nan 0
1979 01 18 nan nan 0
1979 01 19 nan nan 0
1979 01 20 nan nan 0
1979 01 21 nan nan 0
1979 01 22 nan nan 0
1979 01 23 nan nan 0
1979 01 24 nan nan 0
1979 01 25 nan nan 0
1979 01 26 nan nan 0
1979 01 27 nan nan 0
1979 01 28 nan nan 0
1979 01 29 nan nan 0
1979 01 30 nan nan 0
1979 01 31 nan nan 0
1979 02 01 nan nan 0
1979 02 02 nan nan 0
1979 02 03 nan nan 0
1979 02 04 nan nan 0
1979 02 05 nan nan 0
1979 02 06 nan nan 0
1979 02 07 nan nan 0
1979 02 08 nan nan 0
1979 02 09 nan nan 0
1979 02 10 nan nan 0
1979 02 11 nan nan 0
1979 02 12 nan nan 0
1979 02 13 nan nan 0
1979 02 14 nan nan 0
1979 02 15 nan nan 0
1979 02 16 nan nan 0
1979 02 17 nan nan 0
1979 02 18 nan nan 0
1979 02 19 nan nan 0
1979 02 20 nan nan 0
1979 02 21 nan nan 0
1979 02 22 nan nan 0
1979 02 23 nan nan 0
1979 02 24 nan nan 0
1979 02 25 nan nan 0
1979 02 26 nan nan 0
1979 02 27 nan nan 0
1979 02 28 nan nan 0
1979 03 01 nan nan 0
1979 03 02 nan nan 0
1979 03 03 nan nan 0
1979 03 04 nan nan 0
1979 03 05 nan nan 0
1979 03 06 nan nan 0
1979 03 07 nan nan 0
1979 03 08 nan nan 0
1979 03 09 nan nan 0
1979 03 10 nan nan 0
1979 03 11 nan nan 0
1979 03 12 nan nan 0
1979 03 13 nan nan 0
1979 03 14 nan nan 0
1979 03 15 nan nan 0
1979 03 16 nan nan 0
1979 03 17 nan nan 0
1979 03 18 nan nan 0
1979 03 19 nan nan 0
1979 03 20 nan nan 0
1979 03 21 nan nan 0
1979 03 22 nan nan 0
1979 03 23 nan nan 0
1979 03 24 nan nan 0
1979 03 25 nan nan 0
1979 03 26 nan nan 0
1979 03 27 nan nan 0
1979 03 28 nan nan 0
1979 03 29 nan nan 0
1979 03 30 nan nan 0
1979 03 31 nan nan 0
1979 04 01 nan nan 0
1979 04 02 nan nan 0
1979 04 03 nan nan 0
1979 04 04 nan nan 0
1979 04 05 nan nan 0
1979 04 06 nan nan 0
1979 04 07 nan nan 0
1979 04 08 nan nan 0
1979 04 09 nan nan 0
1979 04 10 nan nan 0
1979 04 11 nan nan 0
1979 04 12 nan nan 0
1979 04 13 nan nan 0
1979 04 14 nan nan 0
1979 04 15 nan nan 0
1979 04 16 nan nan 0
1979 04 17 nan nan 0
1979 04 18 nan nan 0
1979 04 19 nan nan 0
1979 04 20 nan nan 0
1979 04 21 nan nan 0
1979 04 22 nan nan 0
1979 04 23 nan nan 0
1979 04 24 nan nan 0
1979 04 25 nan nan 0
1979 04 26 nan nan 0
1979 04 27 nan nan 0
1979 04 28 nan nan 0
1979 04 29 nan nan 0
1979 04 30 nan nan 0
1979 05 01 nan nan 0
1979 05 02 nan nan 0
1979 05 03 nan nan 0
1979 05 04 nan nan 0
1979 05 05 nan nan 0
1979 05 06 nan nan 0
1979 05 07 nan nan 0
1979 05 08 nan nan 0
1979 05 09 nan nan 0
1979 05 10 nan nan 0
1979 05 11 nan nan 0
1979 05 12 nan nan 0
1979 05 13 nan nan 0
1979 05 14 nan nan 0
1979 05 15 nan nan 0
1979 05 16 nan nan 0
1979 05 17 nan nan 0
1979 05 18 nan nan 0
1979 05 19 nan nan 0
1979 05 20 nan nan 0
1979 05 21 nan nan 0
1979 05 22 nan nan 0
1979 05 23 nan nan 0
1979 05 24 nan nan 0
1979 05 25 nan nan 0
1979 05 26 nan nan 0
1979 05 27 nan nan 0
1979 05 28 nan nan 0
1979 05 29 nan nan 0
1979 05 30 nan nan 0
1979 05 31 nan nan 0
1979 06 01 nan nan 0
1979 06 02 nan nan 0
1979 06 03 nan nan 0
1979 06 04 nan nan 0
1979 06 05 nan nan 0
1979 06 06 nan nan 0
1979 06 07 nan nan 0
1979 06 08 nan nan 0
1979 06 09 nan nan 0
1979 06 10 nan nan 0
1979 06 11 nan nan 0
1979 06 12 nan nan 0
1979 06 13 nan nan 0
1979 06 14 nan nan 0
1979 06 15 nan nan 0
1979 06 16 nan nan 0
1979 06 17 nan nan 0
1979 06 18 nan nan 0
1979 06 19 nan nan 0
1979 06 20 nan nan 0
1979 06 21 nan nan 0
1979 06 22 nan nan 0
1979 06 23 nan nan 0
1979 06 24 nan nan 0
1979 06 25 nan nan 0
1979 06 26 nan nan 0
1979 06 27 nan nan 0
1979 06 28 nan nan 0
1979 06 29 nan nan 0
1979 06 30 nan nan 0
1979 07 01 nan nan 0
1979 07 02 nan nan 0
1979 07 03 nan nan 0
1979 07 04 nan nan 0
1979 07 05 nan nan 0
1979 07 06 nan nan 0
1979 07 07 nan nan 0
1979 07 08 nan nan 0
1979 07 09 nan nan 0
1979 07 10 nan nan 0
1979 07 11 nan nan 0
1979 07 12 nan nan 0
1979 07 13 nan nan 0
1979 07 14 nan nan 0
1979 07 15 nan nan 0
1979 07 16 nan nan 0
1979 07 17 nan nan 0
1979 07 18 nan nan 0
1979 07 19 nan nan 0
1979 07 20 nan nan 0
1979 07 21 nan nan 0
1979 07 22 nan nan 0
1979 07 23 nan nan 0
1979 07 24 nan nan 0
1979 07 25 nan nan 0
1979 07 26 nan nan 0
1979 07 27 nan nan 0
1979 07 28 nan nan 0
1979 07 29 nan nan 0
1979 07 30 nan nan 0
1979 07 31 nan nan 0
1979 08 01 nan nan 0
1979 08 02 nan nan 0
1979 08 03 nan nan 0
1979 08 04 nan nan 0
1979 08 05 nan nan 0
1979 08 06 nan nan 0
1979 08 07 nan nan 0
1979 08 08 nan nan 0
1979 08 09 nan nan 0
1979 08 10 nan nan 0
1979 08 11 nan nan 0
1979 08 12 nan nan 0
1979 08 13 nan nan 0
1979 08 14 nan nan 0
1979 08 15 nan nan 0
1979 08 16 nan nan 0
1979 08 17 nan nan 0
1979 08 18 nan nan 0
1979 08 19 nan nan 0
1979 08 20 nan nan 0
1979 08 21 nan nan 0
1979 08 22 nan nan 0
1979 08 23 nan nan 0
1979 08 24 nan nan 0
1979 08 25 nan nan 0
1979 08 26 nan nan 0
1979 08 27 nan nan 0
1979 08 28 nan nan 0
1979 08 29 nan nan 0
1979 08 30 nan nan 0
1979 08 31 nan nan 0
1979 09 01 nan nan 0
1979 09 02 nan nan 0
1979 09 03 nan nan 0
1979 09 04 nan nan 0
1979 09 05 nan nan 0
1979 09 06 nan nan 0
1979 09 07 nan nan 0
1979 09 08 nan nan 0
1979 09 09 nan nan 0
1979 09 10 nan nan 0
1979 09 11 nan nan 0
1979 09 12 nan nan 0
1979 09 13 nan nan 0
1979 09 14 nan nan 0
1979 09 15 nan nan 0
1979 09 16 nan nan 0
1979 09 17 nan nan 0
1979 09 18 nan nan 0
1979 09 19 nan nan 0
1979 09 20 nan nan 0
1979 09 21 nan nan 0
1979 09 22 nan nan 0
1979 09 23 nan nan 0
1979 09 24 nan nan 0
1979 09 25 nan nan 0
1979 09 26 nan nan 0
1979 09 27 nan nan 0
1979 09 28 nan nan 0
1979 09 29 nan nan 0
1979 09 30 nan nan 0
1979 10 01 nan nan 0
1979 10 02 nan nan 0
1979 10 03 nan nan 0
1979 10 04 nan nan 0
1979 10 05 nan nan 0
1979 10 06 nan nan 0
1979 10 07 nan nan 0
1979 10 08 nan nan 0
1979 10 09 nan nan 0
1979 10 10 nan nan 0
1979 10 11 nan nan 0
1979 10 12 nan nan 0
1979 10 13 nan nan 0
1979 10 14 nan nan 0
1979 10 15 nan nan 0
1979 10 16 nan nan 0
1979 10 17 nan nan 0
1979 10 18 nan nan 0
1979 10 19 nan nan 0
1979 10 20 nan nan 0
1979 10 21 nan nan 0
1979 10 22 nan nan 0
1979 10 23 nan nan 0
1979 10 24 nan nan 0
1979 10 25 nan nan 0
1979 10 26 nan nan 0
1979 10 27 nan nan 0
1979 10 28 nan nan 0
1979 10 29 nan nan 0
1979 10 30 nan nan 0
1979 10 31 nan nan 0
1979 11 01 nan nan 0
1979 11 02 nan nan 0
1979 11 03 nan nan 0
1979 11 04 nan nan 0
1979 11 05 nan nan 0
1979 11 06 nan nan 0
1979 11 07 nan nan 0
1979 11 08 nan nan 0
1979 11 09 nan nan 0
1979 11 10 nan nan 0
1979 11 11 nan nan 0
1979 11 12 nan nan 0
1979 11 13 nan nan 0
1979 11 14 nan nan 0
1979 11 15 nan nan 0
1979 11 16 nan nan 0
1979 11 17 nan nan 0
1979 11 18 nan nan 0
1979 11 19 nan nan 0
1979 11 20 nan nan 0
1979 11 21 nan nan 0
1979 11 22 nan nan 0
1979 11 23 nan nan 0
1979 11 24 nan nan 0
1979 11 25 nan nan 0
1979 11 26 nan nan 0
1979 11 27 nan nan 0
1979 11 28 nan nan 0
1979 11 29 nan nan 0
1979 11 30 nan nan 0
1979 12 01 nan nan 0
1979 12 02 nan nan 0
1979 12 03 nan nan 0
1979 12 04 nan nan 0
1979 12 05 nan nan 0
1979 12 06 nan nan 0
1979 12 07 nan nan 0
1979 12 08 nan nan 0
1979 12 09 nan nan 0
1979 12 10 nan nan 0
1979 12 11 nan nan 0
1979 12 12 nan nan 0
1979 12 13 nan nan 0
1979 12 14 nan nan 0
1979 12 15 nan nan 0
1979 12 16 nan nan 0
1979 12 17 nan nan 0
1979 12 18 nan nan 0
1979 12 19 nan nan 0
1979 12 20 nan nan 0
1979 12 21 nan nan 0
1979 12 22 nan nan 0
1979 12 23 nan nan 0
1979 12 24 nan nan 0
1979 12 25 nan nan 0
1979 12 26 nan nan 0
1979 12 27 nan nan 0
1979 12 28 nan nan 0
1979 12 29 nan nan 0
1979 12 30 nan nan 0
1979 12 31 nan nan 0
1980 01 01 nan nan 0
1980 01 02 nan nan 0
1980 01 03 nan nan 0
1980 01 04 nan nan 0
1980 01 05 nan nan 0
1980 01 06 nan nan 0
1980 01 07 nan nan 0
1980 01 08 nan nan 0
1980 01 09 nan nan 0
1980 01 10 nan nan 0
1980 01 11 nan nan 0
1980 01 12 nan nan 0
1980 01 13 nan nan 0
1980 01 14 nan nan 0
1980 01 15 nan nan 0
1980 01 16 nan nan 0
1980 01 17 nan nan 0
1980 01 18 nan nan 0
1980 01 19 nan nan 0
1980 01 20 nan nan 0
1980 01 21 nan nan 0
1980 01 22 nan nan 0
1980 01 23 nan nan 0
1980 01 24 nan nan 0
1980 01 25 nan nan 0
1980 01 26 nan nan 0
1980 01 27 nan nan 0
1980 01 28 nan nan 0
1980 01 29 nan nan 0
1980 01 30 nan nan 0
1980 01 31 nan nan 0
1980 02 01 nan nan 0
1980 02 02 nan nan 0
1980 02 03 nan nan 0
1980 02 04 nan nan 0
1980 02 05 nan nan 0
1980 02 06 nan nan 0
1980 02 07 nan nan 0
1980 02 08 nan nan 0
1980 02 09 nan nan 0
1980 02 10 nan nan 0
1980 02 11 nan nan 0
1980 02 12 nan nan 0
1980 02 13 nan nan 0
